864	34.6812
27.5464	25.0508	2.88708
3.96627	0.832404	12.8762
0	0	6.93624
0.352035	30.9698	32.5224
3.47883	31.2529	11.1389
0	0	17.3406
0	0	20.8087
31.6097	29.5885	21.7811
0	0	27.745
0	0	31.2131
0.427033	3.21154	33.2566
30.6186	8.00354	33.0689
31.2082	11.9601	9.48474
0.110705	31.1389	4.76104
34.4378	3.05599	12.575
34.1327	4.16371	15.9791
0	3.46812	20.8087
4.53954	31.2202	27.3147
34.5869	3.53219	27.8937
0.0325312	5.61454	30.7367
3.24768	0.899496	4.26182
33.0569	6.05417	3.76016
30.8767	19.5012	33.3037
6.8112	10.4943	17.5408
0	6.93624	13.8725
31.6141	8.41526	25.6057
0	6.93624	20.8087
0	6.93624	24.2768
0.0356799	6.71436	27.7468
6.44144	34.0112	9.81928
33.6709	6.78131	34.6347
27.3118	15.2614	3.23445
0	10.4044	6.93624
34.2315	3.10774	4.62794
20.9363	24.4701	11.6733
24.885	19.3647	17.9335
0	10.4044	20.8087
31.3283	2.19874	16.0746
6.34187	10.2795	27.8051
19.9418	10.1354	31.7151
28.5463	7.80547	6.87043
31.4568	15.7535	33.3245
0	13.8725	6.93624
0.396439	13.5474	10.7026
32.022	12.8629	16.2787
31.3889	19.7612	19.1475
25.6516	13.0246	23.1564
21.406	4.03701	15.7464
0	13.8725	27.745
31.0539	8.70116	2.02993
0	17.3406	0
28.0359	13.7373	27.8518
30.1748	5.34504	1.76306
27.3626	11.244	4.2949
3.74476	21.8207	23.5478
6.93189	9.77892	14.0435
0	17.3406	20.8087
0.142835	17.9178	25.5916
25.4409	16.8106	20.7004
26.5464	22.2197	18.1479
10.3834	31.6441	34.6559
0	20.8087	3.46812
31.6245	26.8551	1.47415
0	20.8087	10.4044
0	20.8087	13.8725
0	20.8087	17.3406
27.8034	11.0935	25.5186
0.633353	22.5042	24.7587
33.6794	21.9393	30.228
30.3358	27.6932	23.9811
3.70526	23.9491	9.01291
32.9006	22.3991	6.00193
34.6561	16.9079	14.1021
1.99217	34.6706	10.1432
33.7995	23.7017	12.1209
31.6153	33.6296	18.2129
26.1951	27.7366	10.2208
33.0531	25.3222	23.5456
0	24.2768	27.745
6.7376	19.7898	21.2297
32.0781	1.31674	32.9481
31.2022	32.7536	31.0178
31.537	28.5017	15.5465
31.8737	32.8669	24.512
27.2682	31.7357	19.5582
0.290551	1.67844	24.5138
30.8785	31.7538	12.1066
30.2282	27.2313	28.1417
0	27.745	27.745
0.136311	27.3585	32.0658
0.119539	6.24402	6.76704
27.093	30.4088	12.672
23.1831	32.3096	32.3638
31.9149	26.6307	12.6893
31.2092	1.21981	12.7663
3.30212	24.2308	26.1538
0	31.2131	20.8087
4.74045	0.479803	17.4817
0.697827	31.2125	27.9833
31.3843	23.6053	8.91596
31.0233	1.18201	5.46754
3.36537	0.295245	32.2188
28.8969	28.6809	3.3435
28.9231	26.1803	14.7246
1.59274	6.72571	17.3031
28.619	25.174	9.80945
3.46812	0	20.8087
3.86104	34.4744	24.7822
3.24132	6.82254	21.6587
1.77907	31.2471	24.7
31.901	7.73747	29.7544
27.7663	30.9998	8.66851
3.46812	3.46812	6.93624
3.46812	3.46812	10.4044
30.4418	16.5593	15.0685
3.31703	3.59422	15.3711
28.186	0.066081	28.1175
3.46812	3.46812	24.2768
7.16399	10.2678	0.132368
0.181984	28.3285	22.5026
3.46812	6.93624	0
3.46812	6.93624	3.46812
3.46812	6.93624	6.93624
30.7887	12.46	13.1043
3.46812	6.93624	13.8725
34.0499	13.5124	19.526
31.9322	2.40519	25.6774
10.3546	7.21198	29.5816
3.46812	6.93624	27.745
10.3806	16.0819	34.4444
3.46812	10.4044	0
34.2328	12.9711	31.8445
31.2223	4.71621	33.2128
33.9686	17.6738	10.7321
3.46812	10.4044	13.8725
3.46812	10.4044	17.3406
24.9122	34.1844	20.626
2.21188	9.3793	24.0324
31.4285	14.7085	26.5932
3.29317	10.7199	26.799
1.48641	17.6567	31.0708
15.4741	14.2632	2.66877
31.9105	19.2727	2.19247
3.6473	14.2165	9.84664
3.46812	13.8725	13.8725
3.46812	13.8725	17.3406
3.46812	13.8725	20.8087
29.9231	23.2349	31.6507
1.10682	16.4655	3.29697
6.87917	7.76083	21.3753
28.3698	6.19683	20.7185
5.40597	18.3633	3.24806
29.6144	17.0994	7.33137
31.8831	9.00564	5.91901
3.46812	17.3406	13.8725
3.46812	17.3406	17.3406
33.2093	14.7673	22.7959
3.46812	17.3406	24.2768
3.46812	17.3406	27.745
31.497	33.2975	0.193348
27.4474	10.1674	12.7326
0.303239	13.6671	1.30905
3.46812	20.8087	6.93624
3.46812	20.8087	10.4044
28.5239	23.909	6.64011
3.46812	20.8087	17.3406
5.78736	5.95345	24.4565
29.5655	23.5175	17.8142
3.46812	20.8087	27.745
22.6375	13.0452	10.7236
31.1963	22.4292	25.7146
10.3009	34.4815	30.6016
31.6634	20.2914	8.46961
34.1815	6.70395	10.2641
30.3488	32.6192	15.2434
3.46812	24.2768	17.3406
5.15124	22.4649	19.8216
31.6885	24.1981	29.0318
7.06716	24.031	17.5842
5.17253	25.0971	33.9295
32.2489	2.46612	1.49497
33.0016	34.3498	10.4867
3.46812	27.745	6.93624
3.46812	27.745	10.4044
31.6795	30.0759	33.3608
3.5299	27.6238	16.0649
17.0953	27.6214	21.1961
3.77587	27.5243	22.8278
26.0943	21.5422	30.4073
3.46812	27.745	31.2131
3.46812	31.2131	0
3.46812	31.2131	3.46812
0.69576	24.78	14.9109
6.20757	28.3186	0.907785
6.96291	3.66189	22.0244
34.4968	24.4591	1.95501
1.11928	27.4664	18.8347
3.02197	19.5054	21.248
28.7624	27.3919	34.3864
32.0692	1.12952	22.5737
6.93624	0	0
14.1283	27.544	10.7659
29.8324	19.1073	12.6154
8.72276	1.04472	11.6935
10.7591	31.4919	6.99083
27.9102	26.5473	19.6079
3.69187	27.933	27.8328
6.93624	0	24.2768
6.93624	0	27.745
6.80643	34.5914	31.1462
3.16593	31.5603	30.4415
7.13601	2.09783	3.91098
0.521185	34.6554	34.6415
31.7484	2.09927	19.4131
6.93624	3.46812	13.8725
6.93624	3.46812	17.3406
3.73361	10.5242	21.0497
7.32107	21.6115	31.0675
6.93624	3.46812	27.745
14.1029	33.7033	27.837
6.93624	6.93624	0
7.18272	6.96163	3.74626
13.2196	17.5567	0.0512916
6.93624	6.93624	10.4044
27.5411	28.0234	6.51739
